Adipocytes	ENSG00000163453.11
Cardiomyocytes (Atrial)	ENSG00000210127.1
Cardiomyocytes (Ventricular)	ENSG00000134571.12
Endothelial Cells (Arterial)	ENSG00000065054.14
Endothelial Cells (Capillary)	ENSG00000165949.13
Fibroblasts	ENSG00000289089.1
Immune Cells (Macrophages)	ENSG00000204287.14
Immune Cells (Monocytes)	ENSG00000158869.11
Neuronal Cells	ENSG00000133639.6
Pericytes	ENSG00000185633.11
Smooth Muscle Cells (Basic)	ENSG00000143248.13
