Alpha-beta T cell	ENSG00000147535.17
CD14-positive monocyte	ENSG00000170458.15
CD1C-, CD141- dendritic cell	ENSG00000105011.9
Circulating fetal cell	ENSG00000223046.1
Dendritic cell	ENSG00000286349.1
Effector memory CD8-positive, alpha-beta T cell	ENSG00000116191.19
Lymphocyte	ENSG00000211592.8
Myeloid cell	ENSG00000198898.16
Natural killer cell	ENSG00000197746.15
Plasmacytoid dendritic cell	ENSG00000122786.20
T cell	ENSG00000211753.4
