Adipocytes	ENSG00000099194.6
Cardiomyocytes (Ventricular)	ENSG00000289973.1
Endothelial Cells (Capillary)	ENSG00000163638.13
Endothelial Cells (Lymphatic)	ENSG00000178573.7
Endothelial Cells (Venous)	ENSG00000074181.9
Fibroblasts	ENSG00000163359.17
Immune Cells (Macrophages)	ENSG00000010327.10
Immune Cells (Monocytes)	ENSG00000018280.18
Mesothelial Cells	ENSG00000245532.11
Neuronal Cells	ENSG00000062716.13
Pericytes	ENSG00000113140.11
Smooth Muscle Cells (Basic)	ENSG00000107796.14
