B cell DEGs	ENSG00000105369.10
Endothelial DEGs	ENSG00000143369.15
Fibroblast DEGs	ENSG00000110492.17
Macrophage DEGs	ENSG00000173372.18
Mig. cDC DEGs	ENSG00000223865.12
Monocyte DEGs	ENSG00000121933.19
Neutrophil DEGs	ENSG00000163221.9
T cell DEGs	ENSG00000211772.11
cDC1 DEGs	ENSG00000166428.14
cDC2 DEGs	ENSG00000179344.17
