Cardiomyocytes (Ventricular)	ENSG00000148671.14
Endothelial Cells (Arterial)	ENSG00000150630.4
Endothelial Cells (Atrial)	ENSG00000185551.15
Endothelial Cells (Capillary)	ENSG00000167434.10
Fibroblasts	ENSG00000122870.12
Immune Cells (Macrophages)	ENSG00000122679.8
Immune Cells (Monocytes)	ENSG00000081320.12
Neuronal Cells	ENSG00000215018.10
Smooth Muscle Cells (Basic)	ENSG00000065534.20
