B cell	ENSG00000159958.7
Cancer-associated fibroblast	ENSG00000125968.9
Endothelial cell	ENSG00000105971.15
Endothelial cell of vascular tree	ENSG00000237019.1
Fibroblast	ENSG00000145147.20
Macrophage	ENSG00000154589.7
Mast cell	ENSG00000169224.13
Merkel cell carcinoma tumor cell	ENSG00000270020.1
Monocyte	ENSG00000183019.8
Neoplastic cell	ENSG00000197702.14
T cell	ENSG00000100385.15
