Alpha-beta T cell	ENSG00000100721.11
B cell	ENSG00000156738.18
CD14-low, CD16-positive monocyte	ENSG00000231389.8
CD14-positive monocyte	ENSG00000038427.16
CD1C+ B dendritic cell	ENSG00000019582.17
Dendritic cell	ENSG00000198502.7
Effector memory CD4-positive, alpha-beta T cell	ENSG00000196154.12
Erythrocyte	ENSG00000211459.2
Memory B cell	ENSG00000150093.20
Monocyte	ENSG00000210082.2
Natural killer cell	ENSG00000115523.17
Tissue resident memory T cell	ENSG00000125740.15
