Adipocytes	ENSG00000163453.11
Cardiomyocytes (Ventricular)	ENSG00000118194.22
Endothelial Cells (Arterial)	ENSG00000169908.12
Endothelial Cells (Capillary)	ENSG00000108691.10
Endothelial Cells (Lymphatic)	ENSG00000231181.1
Fibroblasts	ENSG00000011465.18
Immune Cells (Macrophages)	ENSG00000231389.8
Immune Cells (Monocytes)	ENSG00000172216.6
Neuronal Cells	ENSG00000164690.8
Pericytes	ENSG00000004468.13
Smooth Muscle Cells (Basic)	ENSG00000140545.16
