Adipocytes	MT-ND4L,IGFBP7,AGT
Cardiomyocytes (Atrial)	ADAMTS4,RGS5,GJA4
Cardiomyocytes (Ventricular)	TNNT2,MYL3,CKM
Endothelial Cells (Atrial)	HNRNPD,EPHX1,NIPBL
Endothelial Cells (Capillary)	IL32,AQP1,F8
Endothelial Cells (Venous)	NR2F2,MFGE8,CPE
Fibroblasts	MT1A,AGT,DCN
Immune Cells (Macrophages)	HLA-DPA1,CTSB,THBS1
Immune Cells (Monocytes)	SAMSN1,VCAN,AIF1
Neuronal Cells	MALAT1,AGT,RGS5
Pericytes	RASD1,PDGFRB,KCNJ8
Smooth Muscle Cells (Basic)	CRISPLD2,CPE,ACTA2
