Adult endothelial progenitor cell	ENSG00000230318.2
B cell	ENSG00000217041.1
CD8-positive, alpha-beta T cell	ENSG00000291007.1
Dendritic cell	ENSG00000112335.15
Effector memory CD8-positive, alpha-beta T cell	ENSG00000110848.8
Leukemic cell	ENSG00000153303.18
Myeloid cell	ENSG00000162434.14
Natural killer cell	ENSG00000105374.10
Neutrophil	ENSG00000231764.11
Non-classical monocyte	ENSG00000226853.5
