B cell DEGs	ENSG00000105369.10,ENSG00000227507.3
Circ. NK NKT cell DEGs	ENSG00000180644.8,ENSG00000100453.14
Macrophage DEGs	ENSG00000164733.23,ENSG00000250722.6
Monocyte DEGs	ENSG00000250722.6,ENSG00000204472.13
Neutrophil DEGs	ENSG00000197956.10,ENSG00000143546.10
Res. NK cell DEGs	ENSG00000277632.2,ENSG00000187118.14
T cell DEGs	ENSG00000105374.10,ENSG00000275302.2
cDC1 DEGs	ENSG00000231389.8,ENSG00000112335.15
cDC2 DEGs	ENSG00000223865.12,ENSG00000179344.17
