B cell	CD79B
CD8-positive, alpha-beta T cell	RPL31P47
Dendritic cell	FCER1A
Dendritic cell, human	FCER1A
Erythrocyte	BLVRB
Erythroid lineage cell	AHSP
Leukemia stem cell	CD47
Leukemic cell	RPS2
Megakaryocyte	ITGA2B
Monocyte	RNASE6
Myeloid cell	RAB32
Naive thymus-derived CD8-positive, alpha-beta T cell	MALAT1
Natural killer cell	FASLG
Neutrophil	CSTA
Plasma cell	LAIR1
Plasmablast	MKI67
Plasmacytoid dendritic cell	LILRB4
Progenitor cell	MPL
Regulatory T cell	MT-ATP6
T cell	S100A6
