Adipocytes	ENSG00000163453.11
Cardiomyocytes (Ventricular)	ENSG00000198626.19
Endothelial Cells (Arterial)	ENSG00000101384.12
Endothelial Cells (Capillary)	ENSG00000198938.2
Endothelial Cells (Venous)	ENSG00000074181.9
Fibroblasts	ENSG00000197766.9
Immune Cells (Monocytes)	ENSG00000172216.6
Neuronal Cells	ENSG00000113721.14
Pericytes	ENSG00000127954.13
Smooth Muscle Cells (Basic)	ENSG00000107796.14
