Adipocytes	ENSG00000163453.11
Cardiomyocytes (Ventricular)	ENSG00000289013.1
Endothelial Cells (Atrial)	ENSG00000269427.1
Endothelial Cells (Capillary)	ENSG00000108691.10
Endothelial Cells (Venous)	ENSG00000074181.9
Fibroblasts	ENSG00000011465.18
Immune Cells (Monocytes)	ENSG00000170458.15
Pericytes	ENSG00000069431.14
Smooth Muscle Cells (Basic)	ENSG00000143248.13
