B cell DEGs	ENSG00000167483.19,ENSG00000289536.1
Basophil DEGs	ENSG00000157404.17,ENSG00000149534.9
Circ. NK NKT cell DEGs	ENSG00000137441.8,ENSG00000100450.13
Endothelial DEGs	ENSG00000136011.15,ENSG00000156298.13
Macrophage DEGs	ENSG00000100292.18,ENSG00000166927.13
Mig. cDC DEGs	ENSG00000105369.10,ENSG00000223865.12
Monocyte DEGs	ENSG00000104918.8,ENSG00000085265.12
Neutrophil DEGs	ENSG00000169429.12,ENSG00000123689.6
Plasma cell DEGs	ENSG00000100721.11,ENSG00000170476.16
Res. NK cell DEGs	ENSG00000185885.17,ENSG00000100385.15
T cell DEGs	ENSG00000164483.17,ENSG00000117281.16
cDC1 DEGs	ENSG00000105369.10,ENSG00000196735.13
cDC2 DEGs	ENSG00000169189.17,ENSG00000005187.12
pDC DEGs	ENSG00000019582.17,ENSG00000140968.12
