B cell	TCL1A
CD8-positive, alpha-beta T cell	CD8B
Dendritic cell	CST3
Dendritic cell, human	CST3
Effector memory CD8-positive, alpha-beta T cell	CD69
Erythrocyte	GSPT1
Erythroid lineage cell	SLC2A1
Leukemic cell	CD3D
Macrophage dendritic cell progenitor	CD74
Mature conventional dendritic cell	ITGAE
Monocyte	MNDA
Naive B cell	HLA-DRA
Naive thymus-derived CD8-positive, alpha-beta T cell	TCF7
Natural killer cell	GZMB
Neutrophil	ELANE
Plasma cell	CYBA
Plasmacytoid dendritic cell	GZMB
Pro-T cell	CD5
Regulatory T cell	IL10RA
Tissue resident memory T cell	TMSB4X
