Adipocytes	ENSG00000163453.11
Cardiomyocytes (Ventricular)	ENSG00000289965.1
Endothelial Cells (Arterial)	ENSG00000125968.9
Endothelial Cells (Capillary)	ENSG00000108691.10
Endothelial Cells (Venous)	ENSG00000074181.9
Fibroblasts	ENSG00000041982.17
Immune Cells (Macrophages)	ENSG00000231389.8
Immune Cells (Monocytes)	ENSG00000172216.6
Pericytes	ENSG00000069431.14
Smooth Muscle Cells (Basic)	ENSG00000143248.13
