B cell	ENSG00000128322.7
Cancer-associated fibroblast	ENSG00000122691.13
Cytotoxic T cell	ENSG00000131469.15
Dendritic cell	ENSG00000019582.17
Endothelial cell of vascular tree	ENSG00000163762.7
Fibroblast	ENSG00000142173.17
Macrophage	ENSG00000154589.7
Mast cell	ENSG00000141433.13
Melanocyte	ENSG00000128285.5
Monocyte	ENSG00000121316.11
Plasma cell	ENSG00000198178.11
RORgt+ cDC2 cell	ENSG00000251666.1
T cell	ENSG00000211829.9
