Adipocytes	ENSG00000119927.14
Cardiomyocytes (Ventricular)	ENSG00000267784.1
Endothelial Cells (Atrial)	ENSG00000251562.11
Endothelial Cells (Capillary)	ENSG00000179776.20
Endothelial Cells (Lymphatic)	ENSG00000259282.5
Endothelial Cells (Venous)	ENSG00000185551.15
Fibroblasts	ENSG00000000971.17
Immune Cells (Macrophages)	ENSG00000166927.13
Immune Cells (Monocytes)	ENSG00000172243.18
Neuronal Cells	ENSG00000062716.13
Smooth Muscle Cells (Basic)	ENSG00000249669.12
