Adipocytes	ENSG00000163453.11
Cardiomyocytes (Atrial)	ENSG00000175206.11
Cardiomyocytes (Ventricular)	ENSG00000155657.29
Endothelial Cells (Arterial)	ENSG00000251562.11
Endothelial Cells (Atrial)	ENSG00000272138.3
Endothelial Cells (Capillary)	ENSG00000251562.11
Immune Cells (Macrophages)	ENSG00000166710.23
Neuronal Cells	ENSG00000175445.17
Pericytes	ENSG00000251562.11
