AT1	ENSG00000268104.3
AT2	ENSG00000163191.6
Ciliated	ENSG00000101222.12
Club	ENSG00000246323.2
Fibroblast	ENSG00000075420.13
Goblet	ENSG00000106541.12
Lymphatic	ENSG00000272870.4
Macrophage Alveolar	ENSG00000181163.14
PNEC	ENSG00000279485.1
Pericytes	ENSG00000184838.15
VE Capillary B	ENSG00000034510.6
VE Peribronchial	ENSG00000198336.9
ncMonocyte	ENSG00000143382.16
