Basophil DEGs	ENSG00000177606.9
Cholangiocyte DEGs	ENSG00000122870.12
Endothelial DEGs	ENSG00000131016.17
Fibroblast DEGs	ENSG00000122786.20
Hepatocyte DEGs	ENSG00000181722.18
Macrophage DEGs	ENSG00000087086.15
Mig. cDC DEGs	ENSG00000136810.13
Neutrophil DEGs	ENSG00000170345.10
Plasma cell DEGs	ENSG00000166598.16
cDC1 DEGs	ENSG00000112335.15
cDC2 DEGs	ENSG00000101439.9
pDC DEGs	ENSG00000180879.14
