B cell	ENSG00000166598.16
CD14-low, CD16-positive monocyte	ENSG00000231389.8
CD4-positive, CD25-positive, alpha-beta regulatory T cell	ENSG00000105849.6
Dendritic cell	ENSG00000226355.2
Effector memory CD8-positive, alpha-beta T cell	ENSG00000126653.18
Endothelial cell	ENSG00000164104.12
Eosinophil	ENSG00000132676.16
Myeloid cell	ENSG00000134809.9
Plasma cell	ENSG00000125037.13
