AXL+, SIGLEC6+ dendritic cell	ENSG00000111275.13
CD14-low, CD16-positive monocyte	ENSG00000262406.3
CD14-positive monocyte	ENSG00000145287.11
CD1C+ B dendritic cell	ENSG00000134321.13
Cancer stem cell	ENSG00000286297.1
Central memory CD4-positive, alpha-beta T cell	ENSG00000119917.15
Circulating tumor cell	ENSG00000196230.14
Effector memory CD4-positive, alpha-beta T cell	ENSG00000196154.12
Erythrocyte	ENSG00000182899.17
Myeloid cell	ENSG00000102575.14
Platelet	ENSG00000105605.8
