Adipocytes	ENSG00000163453.11
Cardiomyocytes (Atrial)	ENSG00000175206.11
Cardiomyocytes (Ventricular)	ENSG00000118194.22
Endothelial Cells (Arterial)	ENSG00000117318.9
Endothelial Cells (Capillary)	ENSG00000125968.9
Endothelial Cells (Venous)	ENSG00000074181.9
Fibroblasts	ENSG00000148180.22
Immune Cells (Monocytes)	ENSG00000172216.6
Pericytes	ENSG00000069431.14
Smooth Muscle Cells (Basic)	ENSG00000143248.13
