Alpha-beta T cell	ENSG00000225084.1
B cell	MEF2C
CD14-positive monocyte	MPEG1
CD1C-, CD141- dendritic cell	ARPC3
Dendritic cell, human	HLA-DRB1
Endothelial cell	ST3GAL6-AS1
Erythrocyte	SLC25A37
Naive thymus-derived CD4-positive, alpha-beta T cell	EEF1B2
Natural killer cell	GZMB
Plasmacytoid dendritic cell	FCER1G
Platelet	RUFY1
T cell	TRAC
T-helper 17 cell	CYP4F12
Tissue resident memory T cell	MT-ND2
