B cell DEGs	ENSG00000100721.11
Basophil DEGs	ENSG00000163106.11
Cholangiocyte DEGs	ENSG00000162374.18
Endothelial DEGs	ENSG00000127329.16
Fibroblast DEGs	ENSG00000160801.14
Hepatocyte DEGs	ENSG00000171759.10
Macrophage DEGs	ENSG00000117394.24
Mig. cDC DEGs	ENSG00000223865.12
Monocyte DEGs	ENSG00000158869.11
Neutrophil DEGs	ENSG00000130560.9
T cell DEGs	ENSG00000111796.4
cDC1 DEGs	ENSG00000204287.14
pDC DEGs	ENSG00000128322.7
