Cardiomyocytes (Atrial)	ENSG00000225972.1
Cardiomyocytes (Ventricular)	ENSG00000109846.9
Endothelial Cells (Arterial)	ENSG00000169908.12
Endothelial Cells (Capillary)	ENSG00000127920.6
Fibroblasts	ENSG00000118849.10
Immune Cells (Macrophages)	ENSG00000231389.8
Immune Cells (Monocytes)	ENSG00000163221.9
Neuronal Cells	ENSG00000172543.9
Pericytes	ENSG00000004468.13
Smooth Muscle Cells (Basic)	ENSG00000133392.19
