ASPC	ENSG00000142173.17
LEC	ENSG00000003436.16
SMC	ENSG00000167641.11
dendritic_cell	ENSG00000204287.14
endothelial	ENSG00000169908.12
macrophage	ENSG00000129538.14
monocyte	ENSG00000204482.11
neutrophil	ENSG00000187193.9
nk_cell	ENSG00000134539.17
pericyte	ENSG00000133110.15
t_cell	ENSG00000168685.15
