AT1	ENSG00000186081.12
Aberrant Basaloid	ENSG00000109321.11
Basal	ENSG00000171346.16
Ciliated	ENSG00000205084.12
DC Langerhans	ENSG00000204287.14
Goblet	ENSG00000204287.14
Ionocyte	ENSG00000249601.2
Lymphatic	ENSG00000167779.9
Macrophage Alveolar	ENSG00000189372.4
Mesothelial	ENSG00000291237.1
Pericytes	ENSG00000142910.16
SMC	ENSG00000105974.13
VE Capillary B	ENSG00000204592.9
