AT1	ENSG00000136153.21
AT2	ENSG00000104267.10
Aberrant Basaloid	ENSG00000189334.9
B Plasma	ENSG00000170476.16
Basal	ENSG00000182782.8
Ciliated	ENSG00000153347.10
Club	ENSG00000198899.2
DC Mature	ENSG00000172602.11
Fibroblast	ENSG00000105509.11
Goblet	ENSG00000149021.7
Lymphatic	ENSG00000131477.11
Mesothelial	ENSG00000167779.9
Myofibroblast	ENSG00000147257.16
Pericytes	ENSG00000122786.20
SMC	ENSG00000050165.19
VE Arterial	ENSG00000156675.16
VE Capillary A	ENSG00000127920.6
VE Capillary B	ENSG00000064989.13
cDC1	ENSG00000167972.14
cDC2	ENSG00000078081.8
