B cell	HLA-DQA1
CD14-low, CD16-positive monocyte	IFITM3
CD14-positive monocyte	VCAN
CD141+ CLEC9a+ dendritic cell	CD74
Circulating tumor cell	PON1
Erythrocyte	FAM210B
Lymphocyte	RAN
Memory B cell	MT-ND5
Monocyte	NEAT1
Myeloid cell	NAMPT
Naive thymus-derived CD4-positive, alpha-beta T cell	GAS5
Naive thymus-derived CD8-positive, alpha-beta T cell	RACK1
Natural killer cell	FGFBP2
Plasma cell	SEC11C
Plasmacytoid dendritic cell	IRF7
Platelet	CTTN
