Adipocytes	ENSG00000163453.11
Cardiomyocytes (Ventricular)	ENSG00000161281.11
Endothelial Cells (Capillary)	ENSG00000102760.13
Endothelial Cells (Venous)	ENSG00000185551.15
Fibroblasts	ENSG00000132386.11
Immune Cells (Macrophages)	ENSG00000019582.17
Immune Cells (Monocytes)	ENSG00000143546.10
Neuronal Cells	ENSG00000175445.17
Pericytes	ENSG00000121361.5
Smooth Muscle Cells (Basic)	ENSG00000133392.19
