B cell DEGs	ENSG00000100721.11
Basophil DEGs	ENSG00000172236.19
Endothelial DEGs	ENSG00000078401.7
Fibroblast DEGs	ENSG00000163217.2
Hepatocyte DEGs	ENSG00000142484.7
Macrophage DEGs	ENSG00000164733.23
Mig. cDC DEGs	ENSG00000204287.14
Monocyte DEGs	ENSG00000158869.11
Neutrophil DEGs	ENSG00000175449.15
T cell DEGs	ENSG00000144290.17
cDC1 DEGs	ENSG00000204287.14
pDC DEGs	ENSG00000145287.11
