Cardiomyocytes (Ventricular)	ENSG00000107796.14
Endothelial Cells (Arterial)	ENSG00000010319.7
Endothelial Cells (Atrial)	ENSG00000211764.1
Endothelial Cells (Capillary)	ENSG00000167434.10
Endothelial Cells (Lymphatic)	ENSG00000260314.3
Endothelial Cells (Venous)	ENSG00000185551.15
Fibroblasts	ENSG00000134853.12
Immune Cells (Macrophages)	ENSG00000231389.8
Immune Cells (Monocytes)	ENSG00000170458.15
Pericytes	ENSG00000152402.11
Smooth Muscle Cells (Basic)	ENSG00000142279.13
