Adipocytes	ENSG00000119927.14
Cardiomyocytes (Atrial)	ENSG00000175206.11
Cardiomyocytes (Ventricular)	ENSG00000287891.2
Endothelial Cells (Capillary)	ENSG00000131018.25
Endothelial Cells (Venous)	ENSG00000074181.9
Fibroblasts	ENSG00000011465.18
Immune Cells (Macrophages)	ENSG00000177575.13
Immune Cells (Monocytes)	ENSG00000177575.13
Neuronal Cells	ENSG00000179915.25
Pericytes	ENSG00000069431.14
Smooth Muscle Cells (Basic)	ENSG00000133392.19
