Adipocytes	GPAM
Cardiomyocytes (Atrial)	NPPA
Cardiomyocytes (Ventricular)	ENSG00000287891.2
Endothelial Cells (Capillary)	SYNE1
Endothelial Cells (Venous)	NOTCH3
Fibroblasts	DCN
Immune Cells (Macrophages)	CD163
Immune Cells (Monocytes)	CD163
Neuronal Cells	NRXN1
Pericytes	ABCC9
Smooth Muscle Cells (Basic)	MYH11
