AT1	GPRC5A
Aberrant Basaloid	SFN
Basal	DST
Ciliated	TMEM231
DC Langerhans	HLA-DQB1
Goblet	FCGBP
ILC A	LSP1
Lymphatic	TRAPPC8
Macrophage	GPNMB
Mast	CD44
Mesothelial	MT1X
Myofibroblast	THY1
NK	BIN2
SMC	MFAP4
T Regulatory	HNRNPA1P43
VE Capillary A	CLDN5
VE Capillary B	CD69
VE Peribronchial	CD200
cDC2	HLA-DQA1
cMonocyte	FCER1G
pDC	LINC-PINT
