B cell DEGs	ENSG00000197536.11
Basophil DEGs	ENSG00000163106.11
Cholangiocyte DEGs	ENSG00000135744.9
Endothelial DEGs	ENSG00000101871.18
Fibroblast DEGs	ENSG00000189184.12
Hepatocyte DEGs	ENSG00000080910.14
Macrophage DEGs	ENSG00000112077.18
Mig. cDC DEGs	ENSG00000196735.13
Monocyte DEGs	ENSG00000145335.17
Neutrophil DEGs	ENSG00000175449.15
cDC1 DEGs	ENSG00000196126.12
cDC2 DEGs	ENSG00000019582.17
pDC DEGs	ENSG00000166428.14
