B cell	VPREB3
CD8-positive, alpha-beta T cell	CD8B
Cytotoxic T cell	SARAF
Dendritic cell, human	LYZ
Erythrocyte	BCL2L1
Erythroid lineage cell	RHAG
Hematopoietic cell	TRAC
Hematopoietic precursor cell	OR5A1
Leukemia stem cell	CD47
Monocyte	CD14
Naive thymus-derived CD8-positive, alpha-beta T cell	TCF7
Natural killer cell	TRDC
Neutrophil	FABP5
Plasma cell	ITM2C
Plasmacytoid dendritic cell	CCDC50
Progenitor cell	ANKRD28
Regulatory T cell	RPLP0
T cell	CD3G
