AT1	ENSG00000013588.10
AT2	ENSG00000167972.14
B Plasma	ENSG00000137265.16
Ciliated	ENSG00000171595.14
Club	ENSG00000272703.1
DC Langerhans	ENSG00000204472.13
Fibroblast	ENSG00000142089.17
ILC A	ENSG00000100450.13
Lymphatic	ENSG00000153993.14
Macrophage	ENSG00000126709.16
Macrophage Alveolar	ENSG00000289692.1
Mast	ENSG00000164120.14
Mesothelial	ENSG00000182326.17
Myofibroblast	ENSG00000165124.19
NK	ENSG00000100450.13
SMC	ENSG00000076706.17
T	ENSG00000113263.14
VE Arterial	ENSG00000107281.10
VE Capillary A	ENSG00000184113.10
VE Capillary B	ENSG00000131477.11
VE Peribronchial	ENSG00000154721.15
VE Venous	ENSG00000112414.15
cDC1	ENSG00000112149.10
cDC2	ENSG00000169508.7
cMonocyte	ENSG00000151726.16
ncMonocyte	ENSG00000204482.11
pDC	ENSG00000121966.8
