Adipocytes	IGFBP7
Cardiomyocytes (Atrial)	NPPA
Cardiomyocytes (Ventricular)	ENSG00000289965.1
Endothelial Cells (Capillary)	HLA-B
Endothelial Cells (Venous)	NR2F2
Fibroblasts	ABCA8
Immune Cells (Macrophages)	CD74
Immune Cells (Monocytes)	CEBPB
Neuronal Cells	MALAT1
Pericytes	ABCC9
Smooth Muscle Cells (Basic)	RGS5
