Adipocytes	ENSG00000163453.11
Cardiomyocytes (Atrial)	ENSG00000175206.11
Cardiomyocytes (Ventricular)	ENSG00000289965.1
Endothelial Cells (Capillary)	ENSG00000234745.14
Endothelial Cells (Venous)	ENSG00000185551.15
Fibroblasts	ENSG00000141338.15
Immune Cells (Macrophages)	ENSG00000019582.17
Immune Cells (Monocytes)	ENSG00000172216.6
Neuronal Cells	ENSG00000251562.11
Pericytes	ENSG00000069431.14
Smooth Muscle Cells (Basic)	ENSG00000143248.13
