Adipocytes	ENSG00000163453.11
Cardiomyocytes (Atrial)	ENSG00000251562.11
Cardiomyocytes (Ventricular)	ENSG00000289965.1
Endothelial Cells (Capillary)	ENSG00000204525.18
Fibroblasts	ENSG00000197766.9
Immune Cells (Monocytes)	ENSG00000172216.6
Mesothelial Cells	ENSG00000102854.16
Pericytes	ENSG00000069431.14
Smooth Muscle Cells (Basic)	ENSG00000117318.9
