Excitatory neuron	BCL11B
Glioblast	SOX2
Inflammatory macrophage	TSPO
Inhibitory neuron	DLX6-AS1
Intermediate progenitor cell	EOMES
Interneuron	ID2
Medial ganglionic eminence cell	NKX2-1
Microglial cell	APOE
Naive B cell	CD24
Pericyte	CXCR4
Plasmacytoid dendritic cell	MCPH1
Purkinje cell	MPRIP
Subplate cell	TLE4
T cell	B2M
Vascular leptomeningeal cell	KRT18P26
Von Economo neuron	PCDH8
