Adipocytes	ENSG00000163453.11
Cardiomyocytes (Ventricular)	ENSG00000183023.19
Endothelial Cells (Capillary)	ENSG00000108691.10
Endothelial Cells (Venous)	ENSG00000113721.14
Fibroblasts	ENSG00000011465.18
Immune Cells (Macrophages)	ENSG00000198804.2
Neuronal Cells	ENSG00000185532.20
Pericytes	ENSG00000069431.14
Smooth Muscle Cells (Basic)	ENSG00000143248.13
