Adipocytes	ENSG00000163453.11
Cardiomyocytes (Atrial)	ENSG00000117114.21
Cardiomyocytes (Ventricular)	ENSG00000118194.22
Endothelial Cells (Arterial)	ENSG00000101384.12
Endothelial Cells (Capillary)	ENSG00000102760.13
Endothelial Cells (Venous)	ENSG00000074181.9
Fibroblasts	ENSG00000148180.22
Immune Cells (Monocytes)	ENSG00000172216.6
Pericytes	ENSG00000249669.12
Smooth Muscle Cells (Basic)	ENSG00000107796.14
